Category,Item,Option,Quantity,Price Per Unit,Total Profit
Services,Obstetrics and Gynecology Consultation,N/A,670,597.89,"400,586.00"
Services,Pediatrics Consultation,N/A,523,598.24,"312,879.00"
Ultrasound,Obstetrics and Gynecology Consultation,Transvaginal,203,"1,196.71","242,932.00"
Vaccines,Flu Vaccine,N/A,62,"1,996.77","123,800.00"
Ultrasound,Obstetrics and Gynecology Consultation,Congenital Anomaly Scan,50,"2,450.00","122,500.00"
Ultrasound,Obstetrics and Gynecology Consultation,Pelvic,67,"1,196.42","80,160.00"
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry,59,"1,291.19","76,180.00"
Vaccines,"6 IN 1 ""Hexaxim"" Vaccine",N/A,18,"4,000.00","72,000.00"
Vaccines,Rotateq Vaccine,N/A,27,"2,500.00","67,500.00"
Vaccines,Rotarix Vaccine,N/A,20,"2,975.00","59,500.00"
Vaccines,"PCV ""Pneumoccoccal"" Vaccine",N/A,12,"4,000.00","48,000.00"
Laboratory,Packages,Buntis Package B,16,"2,500.00","40,000.00"
Vaccines,Japanese Encephalitis Vaccine,N/A,9,"4,000.00","36,000.00"
Laboratory,Packages,Thyroid Function Test,20,"1,800.00","36,000.00"
Others,Non-Stress Test,N/A,35,"1,000.00","35,000.00"
Medicines,Medicine,Heragest,481,65.00,"31,265.00"
Laboratory,Clinical Chemistry,75 Gram OGTT,24,"1,200.00","28,800.00"
Services,Endocrinologist Consultation,N/A,37,774.51,"28,657.00"
Ultrasound,Obstetrics and Gynecology Consultation,5D Ultrasound,9,"3,000.00","27,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,Biometry,22,"1,200.00","26,400.00"
Services,REI,N/A,31,794.84,"24,640.00"
Medicines,Medicine,Multivitamins (Mosvit Elite),"1,285",18.00,"23,130.00"
Medical Certificate,Swab Test,N/A,18,"1,200.00","21,600.00"
Vaccines,TD Vaccine,N/A,25,860.00,"21,500.00"
Vaccines,Tetanus Toxoid Vaccine,N/A,37,500.00,"18,500.00"
Surgeon,Surgery Procedure (4500),N/A,4,"4,500.00","18,000.00"
Laboratory,Microbiology,Papsmear,22,800.00,"17,600.00"
Medicines,Medicine,Calcium Carbonate + D3 (Calcidin),"1,413",12.00,"16,956.00"
Ultrasound,General Ultrasound,Whole Abdomen,10,"1,669.60","16,696.00"
Services,Surgery Consultation,N/A,29,538.65,"15,620.96"
Ultrasound,General Ultrasound,Breast-Chest Ultrasound (Bilateral),9,"1,675.12","15,076.04"
Ultrasound,Obstetrics and Gynecology Consultation,3D-4D Ultrasound,6,"2,500.00","15,000.00"
Medicines,Medicine,Medroxyprogesterone (DB-10),160,80.00,"12,800.00"
Services,Urology Consultation,N/A,16,791.06,"12,657.00"
Vaccines,MMRV Vaccine,N/A,2,"6,250.00","12,500.00"
Surgeon,Surgery Procedure (11500),N/A,1,"11,500.00","11,500.00"
Medical Certificate,Medical Certificate,N/A,56,200.00,"11,200.00"
