Category,Item,Option, Quantity , Price Per Unit , Profit 
Services,Obstetrics and Gynecology Consultation,N/A,703.00,"421,158.00","421,158.00"
Services,Pediatrics Consultation,N/A,659.00,"395,186.00","395,186.00"
Ultrasound,Obstetrics and Gynecology Consultation,Transvaginal,185.00,"220,877.71","220,877.71"
Vaccines,Rotateq Vaccine,N/A,55.00,"137,125.00","137,125.00"
Vaccines,"6 IN 1 ""Hexaxim"" Vaccine",N/A,32.00,"128,000.00","128,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,Congenital Anomaly Scan,46.00,"115,000.00","115,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry,85.00,"110,500.00","110,500.00"
Vaccines,Flu Vaccine,N/A,48.00,"96,000.00","96,000.00"
Vaccines,"PCV ""Pneumoccoccal"" Vaccine",N/A,18.00,"72,000.00","72,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,Pelvic,51.00,"61,200.00","61,200.00"
Others,Non-Stress Test,N/A,46.00,"46,000.00","46,000.00"
Medicines,Medicine,Heragest,682.00,"44,330.00","44,330.00"
Vaccines,"PCV ""Vaxneuvance"" Vaccine",N/A,8.00,"40,000.00","40,000.00"
Medical Certificate,Medical Certificate,N/A,72.00,"36,000.00","36,000.00"
Vaccines,TD Vaccine,N/A,29.00,"24,940.00","24,940.00"
Vaccines,Japanese Encephalitis Vaccine,N/A,6.00,"24,000.00","24,000.00"
Vaccines,Rotarix Vaccine,N/A,7.00,"21,000.00","21,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,Biometry,17.00,"20,400.00","20,400.00"
Vaccines,MMRV Vaccine,N/A,3.00,"19,500.00","19,500.00"
Vaccines,Tetanus Toxoid Vaccine,N/A,37.00,"18,500.00","18,500.00"
Services,Laser Circumcision,N/A,4.00,"18,000.00","18,000.00"
Medical Certificate,Swab Test,N/A,15.00,"18,000.00","18,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,5D ULTRASOUND,6.00,"18,000.00","18,000.00"
Services,Endocrinologist Consultation,N/A,23.00,"17,971.00","17,971.00"
Medicines,Medicine,Evening Primrose (PRIMAVIX),505.00,"17,675.00","17,675.00"
Medicines,Medicine,Multivitamins (Mosvit Elite),947.00,"17,046.00","17,046.00"
Laboratory,Clinical Microbiology,Papsmear,20.00,"16,000.00","16,000.00"
Laboratory,Clinical Chemistry,75 Gram OGTT,13.00,"15,600.00","15,600.00"
Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),9.00,"15,300.00","15,300.00"
Laboratory,Medical Packages,Thyroid Function Test,8.00,"14,400.00","14,400.00"
Services,REI,N/A,17.00,"13,600.00","13,600.00"
Laboratory,Miscellaneous,AMH,1.00,"13,000.00","13,000.00"
Medicines,Medicine,Calcium Carbonate + D3 (Calcidin),"1,071.00","12,852.00","12,852.00"
Vaccines,MMR Vaccine,N/A,5.00,"12,500.00","12,500.00"
Services,Surgery Consultation,N/A,19.00,"11,400.00","11,400.00"
Vaccines,Varicella Vaccine,N/A,3.00,"10,500.00","10,500.00"
Medicines,Family Planning,DMPA (Depotrust),21.00,"10,500.00","10,500.00"
Ultrasound,Obstetrics and Gynecology Consultation,TVS w Follicle Monitoring,6.00,"10,200.00","10,200.00"
Laboratory,Hematology,Complete Blood Count (CBC),24.00,"9,600.00","9,600.00"
Surgeon,Surgery Procedure (4500),N/A,2.00,"9,000.00","9,000.00"
Laboratory,Medical Packages,Buntis Package A,5.00,"8,500.00","8,500.00"
Medicines,Medicine,Heme Up,423.00,"8,460.00","8,460.00"
Vaccines,Meningococcal Vaccine,N/A,2.00,"8,000.00","8,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,3D-4D Ultrasound,3.00,"7,500.00","7,500.00"
Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),4.00,"6,800.00","6,800.00"
Laboratory,Clinical Chemistry,HIV Screening,10.00,"6,500.00","6,500.00"
Ultrasound,Obstetrics and Gynecology Consultation,Transrectal,5.00,"6,000.00","6,000.00"
Services,Ear Piercing,N/A,6.00,"6,000.00","6,000.00"
Medicines,Medicine,Vitamin C + Zinc (Pearly-C),451.00,"5,412.00","5,412.00"
Services,Urology Consultation,N/A,7.00,"5,300.00","5,300.00"
Ultrasound,General Ultrasound,Whole Abdomen,3.00,"5,100.00","5,100.00"
Medicines,Medicine,Folic Acid (Quatrofol),334.00,"5,010.00","5,010.00"
Laboratory,Medical Packages,Buntis Package B,2.00,"5,000.00","5,000.00"
Laboratory,Clinical Microscopy,Urinalysis,23.00,"4,600.00","4,600.00"
Vaccines,PPD Test,N/A,6.00,"4,500.00","4,500.00"
Services,Cardiology Consultation,N/A,6.00,"4,371.00","4,371.00"
Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),3.00,"4,200.00","4,200.00"
Medicines,Medicine,Ferrous + Folic Acid (Prenat),346.00,"4,152.00","4,152.00"
Medicines,Family Planning,IMPLANT (INSERTION),1.00,"4,000.00","4,000.00"
Medicines,Medicine,Cholecalciferol + Calcium (Calvit Gold),260.00,"3,900.00","3,900.00"
Laboratory,Hematology,Platelet Count (PC),15.00,"3,750.00","3,750.00"
Medicines,Medicine,Mupirocin Ointment (Mupiderm),15.00,"3,750.00","3,750.00"
Medicines,Medicine,Isoxuprine (Isoxilan),123.00,"3,690.00","3,690.00"
Medicines,Medicine,Medroxyprogesterone (DB-10),45.00,"3,600.00","3,600.00"
Medicines,Medicine,Clindamycin (Vagilin),21.00,"3,570.00","3,570.00"
Medicines,Medicine,Letrozole,21.00,"3,150.00","3,150.00"
Laboratory,Clinical Chemistry,HBsAg Screening,7.00,"3,150.00","3,150.00"
Laboratory,Clinical Chemistry,VDRL-RPR,7.00,"3,150.00","3,150.00"
Laboratory,Medical Packages,Lipid Profile,3.00,"3,000.00","3,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,Cervical Length,4.00,"2,800.00","2,800.00"
Laboratory,Miscellaneous,Quantitative Beta-Hcg,2.00,"2,600.00","2,600.00"
Laboratory,Clinical Chemistry,TSH,4.00,"2,600.00","2,600.00"
Medicines,Medicine,Cefurox,73.00,"2,555.00","2,555.00"
Services,Regular Circumcision,N/A,1.00,"2,500.00","2,500.00"
Surgeon,Surgery Procedure (2500),N/A,1.00,"2,500.00","2,500.00"
Ultrasound,Obstetrics and Gynecology Consultation,Biometry + OB Doppler,1.00,"2,500.00","2,500.00"
Laboratory,Miscellaneous,Wet Smear,4.00,"2,400.00","2,400.00"
Laboratory,Hematology,ABO RH Typing,8.00,"2,400.00","2,400.00"
Medicines,Miscellaneous,Pregnancy Test,19.00,"2,280.00","2,280.00"
Services,Intramuscular Injection,N/A,3.00,"2,114.00","2,114.00"
