Category,Item,Option,Quantity,Price Per Unit,Total Profit
Services,Obstetrics and Gynecology Consultation,N/A,626.00,599.05,"375,007.93"
Services,Pediatrics Consultation,N/A,530.00,599.54,"317,757.47"
Ultrasound,Obstetrics and Gynecology Consultation,Transvaginal,234.00,"1,195.43","279,730.00"
Vaccines,6 IN 1 Vaccine,N/A,22.00,"4,000.00","88,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,Congenital Anomaly Scan,34.00,"2,500.00","85,000.00"
Vaccines,Rotarix Vaccine,N/A,26.00,"3,000.00","78,000.00"
Vaccines,PCV Vaccine,N/A,19.00,"4,000.00","76,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry,58.00,"1,300.00","75,400.00"
Vaccines,Rotateq Vaccine,N/A,24.00,"2,500.00","60,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,Pelvic,40.00,"1,200.00","48,000.00"
Laboratory,Medical Packages,Buntis Package B,17.00,"2,500.00","42,500.00"
Services,REI,N/A,47.00,793.91,"37,314.00"
Vaccines,Meningococcal Vaccine,N/A,9.00,"4,000.00","36,000.00"
Medicines,Medicine,Calcium (Calsure Boncare),"2,391.00",12.00,"28,692.00"
Medicines,Medicine,Gestron,429.00,65.00,"27,885.00"
Laboratory,Medical Packages,Thyroid Function Test,15.00,"1,800.00","27,000.00"
Vaccines,Varicella Vaccine,N/A,7.00,"3,500.00","24,500.00"
Medical Certificate,Swab Test,N/A,19.00,"1,200.00","22,800.00"
Laboratory,Clinical Microbiology,Papsmear,46.00,449.53,"20,678.60"
Vaccines,TD Vaccine,N/A,24.00,860.00,"20,640.00"
Laboratory,Clinical Chemistry,75 Gram OGTT,17.00,"1,200.00","20,400.00"
Vaccines,Japanese Encephalitis Vaccine,N/A,5.00,"4,000.00","20,000.00"
Surgeon,Surgery Procedure (9500),N/A,2.00,"9,500.00","19,000.00"
Vaccines,MMR Vaccine,N/A,7.00,"2,500.00","17,500.00"
Medicines,Medicine,Multivitamins (Obtrene),"1,427.00",12.00,"17,124.00"
Services,Urology Consultation,N/A,18.00,792.06,"14,257.00"
Laboratory,Clinical Chemistry,HIV Screening,21.00,650.00,"13,650.00"
Surgeon,Surgery Procedure (4500),N/A,3.00,"4,500.00","13,500.00"
Medicines,FAMILY PLANNING,DMPA (Depotrust),27.00,500.00,"13,500.00"
Medical Certificate,Medical Certificate,N/A,66.00,200.00,"13,200.00"
Services,Cardiology Consultation,N/A,17.00,760.65,"12,931.04"
Ultrasound,Obstetrics and Gynecology Consultation,5D ULTRASOUND,4.00,"3,000.00","12,000.00"
Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),7.00,"1,700.00","11,900.00"
Ultrasound,General Ultrasound,Whole Abdomen,7.00,"1,583.71","11,085.96"
Surgeon,Surgery Procedure (10500),N/A,1.00,"10,500.00","10,500.00"
Ultrasound,Obstetrics and Gynecology Consultation,TVS w Follicle Monitoring,6.00,"1,700.00","10,200.00"
Services,Surgery Consultation,N/A,20.00,504.65,"10,093.00"
Vaccines,Tetanus Toxoid Vaccine,N/A,20.00,500.00,"10,000.00"
Surgeon,Surgery Procedure (9000),N/A,1.00,"9,000.00","9,000.00"
Vaccines,Gardasil 4 Vaccine,N/A,2.00,"4,500.00","9,000.00"
Laboratory,Hematology,Complete Blood Count (CBC),22.00,400.00,"8,800.00"
Laboratory,Medical Packages,Buntis Package A,5.00,"1,700.00","8,500.00"
Surgeon,Surgery Procedure (8500),N/A,1.00,"8,500.00","8,500.00"
Laboratory,Clinical Microscopy,Urinalysis,38.00,199.05,"7,564.00"
Ultrasound,Obstetrics and Gynecology Consultation,3D-4D Ultrasound,3.00,"2,500.00","7,500.00"
Surgeon,Surgery Procedure (7500),N/A,1.00,"7,500.00","7,500.00"
Vaccines,Hepatitis A Vaccine,N/A,3.00,"2,500.00","7,500.00"
Medicines,Medicine,Ferrous + Folic Acid (Prenat),624.00,12.00,"7,488.00"
Medicines,Medicine,Medroxyprogesterone (DB-10),93.00,80.00,"7,440.00"
Services,Endocrinologist Consultation,N/A,9.00,800.00,"7,200.00"
Ultrasound,Obstetrics and Gynecology Consultation,Biometry,6.00,"1,200.00","7,200.00"
Ultrasound,Obstetrics and Gynecology Consultation,Transrectal,6.00,"1,200.00","7,200.00"
Vaccines,Hepatitis B Immune Globulin Vaccine,N/A,2.00,"3,500.00","7,000.00"
Services,Ear Piercing,N/A,7.00,"1,000.00","7,000.00"
Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),4.00,"1,700.00","6,800.00"
Services,Intramuscular Injection,N/A,9.00,752.33,"6,771.00"
Vaccines,MMRV Vaccine,N/A,1.00,"6,500.00","6,500.00"
Medicines,Medicine,Vitamin C + Zinc (Pearly-C),490.00,12.00,"5,880.00"
Medicines,Medicine,Evening Primrose (Primdin),187.00,29.81,"5,575.00"
Medicines,FAMILY PLANNING,ALTHEA,8.00,600.00,"4,800.00"
Medicines,Medicine,Dydrogesterone (Duphaston),54.00,85.00,"4,590.00"
Laboratory,Clinical Chemistry,VDRL-RPR,10.00,450.00,"4,500.00"
Services,Laser Circumcision,N/A,1.00,"4,500.00","4,500.00"
Medicines,Medicine,Ferrous Fumarate + B2+B12+ Folic Acid (Hematrene),372.00,12.00,"4,464.00"
Medicines,Medicine,Folic Acid (Quatrofol),282.00,15.00,"4,230.00"
Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),3.00,"1,400.00","4,200.00"
Medicines,Medicine,Metindaz,28.00,130.00,"3,640.00"
Laboratory,Clinical Chemistry,HBsAg Screening,8.00,450.00,"3,600.00"
Laboratory,Hematology,ABO RH Typing,12.00,300.00,"3,600.00"
Ultrasound,Obstetrics and Gynecology Consultation,Cervical Length,5.00,700.00,"3,500.00"
Vaccines,PPD Test,N/A,7.00,500.00,"3,500.00"
Laboratory,Clinical Chemistry,FBS,5.00,650.00,"3,250.00"
Laboratory,Clinical Microbiology,Urine C-S,4.00,764.25,"3,057.00"
Laboratory,Clinical Microbiology,Gram Stain,5.00,600.00,"3,000.00"
Vaccines,Typhoid Vaccine,N/A,1.00,"3,000.00","3,000.00"
Surgeon,Surgery Procedure (2500),N/A,1.00,"2,500.00","2,500.00"
Services,Regular Circumcision,N/A,1.00,"2,500.00","2,500.00"
Others,Change of Dressing,N/A,2.00,"1,250.00","2,500.00"
Laboratory,Hematology,Platelet Count (PC),10.00,250.00,"2,500.00"
Medicines,Medicine,Heragest,37.00,65.00,"2,405.00"
Laboratory,Miscellaneous,KOH,4.00,600.00,"2,400.00"
Services,Intrauterine Device Removal,N/A,1.00,"2,300.00","2,300.00"
Services,Intrauterine Device Insertion,N/A,1.00,"2,300.00","2,300.00"
Medicines,Medicine,Mupirocin Ointment (Mupiderm),9.00,250.00,"2,250.00"
Vaccines,Inactivated Polio Vaccine (IPV),N/A,2.00,"1,000.00","2,000.00"
Medicines,Miscellaneous,Pregnancy Test,16.00,120.00,"1,920.00"
Services,Implant Removal,N/A,1.00,"1,800.00","1,800.00"
Ultrasound,General Ultrasound,Whole Abdomen with Pre and Post Void,1.00,"1,800.00","1,800.00"
Medicines,Medicine,Momalac,120.00,15.00,"1,800.00"
Medicines,Medicine,Cefuroxime Axetil (Aerox),57.00,30.33,"1,729.00"
Medicines,Medicine,Mommalac,102.00,15.00,"1,530.00"
Surgeon,Surgery Procedure (1500),N/A,1.00,"1,500.00","1,500.00"
Laboratory,Miscellaneous,NS1 Antigen,1.00,"1,400.00","1,400.00"
Medicines,Medicine,Trufit,56.00,23.93,"1,340.00"
Medicines,Medicine,Methylergometrine (Ergojen),57.00,23.16,"1,320.00"
Laboratory,Miscellaneous,Quantitative Beta-Hcg,1.00,"1,300.00","1,300.00"
Ultrasound,General Ultrasound,Soft Tissue Ultrasound (ex. Axillary),1.00,"1,200.00","1,200.00"
Laboratory,Miscellaneous,HbA1c,2.00,550.00,"1,100.00"
Pediatric Medicines,Cetirizine (Allerkid Drops),N/A,6.00,180.00,"1,080.00"
Laboratory,Medical Packages,Lipid Profile,1.00,"1,000.00","1,000.00"
Medicines,Medicine,Cefurox,28.00,35.00,980.00
Ultrasound,Obstetrics and Gynecology Consultation,Follicle Monitoring,2.00,455.50,911.00
Laboratory,Miscellaneous,Beta Hcg,1.00,900.00,900.00
Medicines,Medicine,Folic Acid (Folitrene),50.00,15.00,750.00
Ultrasound,Obstetrics and Gynecology Consultation,Placental Localization,1.00,700.00,700.00
Pediatric Medicines,Pro Biolyte (Banana),N/A,17.00,40.00,680.00
Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),27.00,25.00,675.00
Laboratory,Clinical Chemistry,Creatinine,2.00,300.00,600.00
Laboratory,Miscellaneous,Wet Smear,1.00,600.00,600.00
Laboratory,Miscellaneous,Serum Preg Test,2.00,300.00,600.00
Laboratory,Hematology,APTT,1.00,500.00,500.00
Laboratory,Hematology,PROTIME (PT),1.00,500.00,500.00
Medicines,Medicine,Clomifene Citrate (Ova-mit),5.00,100.00,500.00
Laboratory,Clinical Chemistry,Anti HBs,1.00,450.00,450.00
Pediatric Medicines,Nasatapp Drops,N/A,3.00,143.33,430.00
Pediatric Medicines,Zinc Oxide and Calamine (Saphclamine),N/A,10.00,40.00,400.00
Medicines,Miscellaneous,Feminine Wash (Femcare),2.00,200.00,400.00
Medicines,Medicine,Multivitamins (Medcare OB),30.00,12.00,360.00
Pediatric Medicines,Zinc Sulfate (E-Zinc) 15ml,N/A,3.00,120.00,360.00
Medicines,Medicine,Calcium Carbonate + D3 (CalDTrene),29.00,12.00,348.00
Pediatric Medicines,Cetirizine (Allerkid Syrup),N/A,1.00,300.00,300.00
Medicines,Medicine,Isoxsuprine Hcl (Duvaprine),12.00,25.00,300.00
Laboratory,Clinical Microscopy,Fecalysis,1.00,250.00,250.00
Others,Administration Fee,N/A,1.00,250.00,250.00
Pediatric Medicines,Paracetamol Drops (Biogesic Drops),N/A,2.00,100.00,200.00
Medicines,Miscellaneous,Drysheet - Underpad,4.00,50.00,200.00
Medicines,Medicine,Ferrous + FA (Feofer),15.00,12.00,180.00
Pediatric Medicines,Ceelin Drops 30ml,N/A,1.00,170.00,170.00
Pediatric Medicines,Nasatapp Syrup,N/A,1.00,150.00,150.00
Medicines,Miscellaneous,Wee bag,4.00,15.00,60.00
Pediatric Medicines,Zinc Oxide +Calamine (Calmoseptine),N/A,1.00,50.00,50.00
Medicines,Miscellaneous,Urine Container,4.00,10.00,40.00
