Category,Item,Option,Quantity,Price Per Unit,Total Profit
Services,Obstetrics and Gynecology Consultation,N/A,665.00,598.20,"397,800.00"
Services,Pediatrics Consultation,N/A,535.00,597.69,"319,765.10"
Ultrasound,Obstetrics and Gynecology,Transvaginal,218.00,"1,197.25","261,000.00"
Vaccines,PCV Vaccine,N/A,40.00,"3,972.07","158,882.88"
Ultrasound,Obstetrics and Gynecology,Congenital Anomaly Scan,54.00,"2,500.00","135,000.00"
Vaccines,6 IN 1 Vaccine,N/A,29.00,"3,961.48","114,882.88"
Ultrasound,Obstetrics and Gynecology,BPS + Biometry,74.00,"1,296.86","95,968.00"
Vaccines,Rotateq Vaccine,N/A,35.00,"2,480.05","86,801.80"
Vaccines,Flu Vaccine,N/A,43.00,"2,000.00","86,000.00"
Vaccines,Rotarix Vaccine,N/A,27.00,"3,000.00","81,000.00"
Ultrasound,Obstetrics and Gynecology,Pelvic,47.00,"1,194.89","56,160.00"
Surgeon,Surgery Procedure (8500),N/A,5.00,"8,500.00","42,500.00"
Surgeon,Surgery Procedure (9500),N/A,4.00,"9,500.00","38,000.00"
Laboratory,Medical Packages,Thyroid Function Test,19.00,"1,800.00","34,200.00"
Laboratory,Medical Packages,Buntis Package B,13.00,"2,500.00","32,500.00"
Services,REI,N/A,40.00,800.00,"32,000.00"
Vaccines,MMR Vaccine,N/A,11.00,"2,500.00","27,500.00"
Medical Certificate,Swab Test,N/A,22.00,"1,190.27","26,186.00"
Ultrasound,Obstetrics and Gynecology,5D ULTRASOUND,8.00,"3,000.00","24,000.00"
Medicines,Medicine,Calcium (Calsure Boncare),1998.00,12.00,"23,976.00"
Ultrasound,Obstetrics and Gynecology,Biometry,20.00,"1,188.00","23,760.00"
Vaccines,Meningococcal Vaccine,N/A,6.00,"3,881.00","23,286.00"
Laboratory,Clinical Chemistry,75 Gram OGTT,19.00,"1,200.00","22,800.00"
Medicines,Medicine,Multivitamins (Obtrene),1854.00,12.00,"22,248.00"
Surgeon,Surgery Procedure (10500),N/A,2.00,"10,500.00","21,000.00"
Vaccines,TD Vaccine,N/A,24.00,860.00,"20,640.00"
