Category,Item,Option,Quantity,Piece Per Unit,Total Profit
Services,Obstetrics and Gynecology Consultation,N/A,728,597.53,435000.0
Services,Pediatrics Consultation,N/A,552,600.0,331200.0
Ultrasound,Obstetrics and Gynecology Consultation,Transvaginal,164,1190.07,195172.0
Services,Laser Circumcision,N/A,43,4360.47,187500.0
Ultrasound,Obstetrics and Gynecology Consultation,Congenital Anomaly Scan,57,2500.0,142500.0
Vaccines,Flu Vaccine,N/A,68,1992.65,135500.0
Vaccines,"PCV ""Pneumoccoccal"" Vaccine",N/A,32,4000.0,128000.0
Vaccines,Rotateq Vaccine,N/A,47,2500.0,117500.0
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry,85,1291.15,109748.0
Vaccines,"6 IN 1 ""Hexaxim"" Vaccine",N/A,27,4000.0,108000.0
Services,Regular Circumcision,N/A,35,2487.26,87054.0
Ultrasound,Obstetrics and Gynecology Consultation,Pelvic,55,1200.0,66000.0
Others,Non-Stress Test,N/A,35,1000.0,35000.0
Surgeon,Surgery Procedure (2500),N/A,13,2500.0,32500.0
Medical Certificate,Medical Certificate,N/A,63,500.0,31500.0
Vaccines,Rotarix Vaccine,N/A,10,3000.0,30000.0
Laboratory,Medical Packages,Buntis Package B,12,2500.0,30000.0
Medical Certificate,Swab Test,N/A,24,1200.0,28800.0
Surgeon,Surgery Procedure (9500),N/A,3,9500.0,28500.0
Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),16,1700.0,27200.0
Surgeon,Surgery Procedure (4500),N/A,6,4500.0,27000.0
Laboratory,Clinical Microbiology,Papsmear,33,800.0,26400.0
Services,REI,N/A,32,791.06,25314.0
Laboratory,Medical Packages,Thyroid Function Test,14,1800.0,25200.0
Ultrasound,Obstetrics and Gynecology Consultation,5D ULTRASOUND,8,3000.0,24000.0
Laboratory,Clinical Chemistry,75 Gram OGTT,20,1189.3,23786.0
Vaccines,TD Vaccine,N/A,27,822.44,22206.0
Vaccines,MMR Vaccine,N/A,8,2500.0,20000.0
Vaccines,MMRV Vaccine,N/A,3,6500.0,19500.0
Medicines,Medicine,Cholecalciferol + Calcium (Calvit Gold),1276,15.0,19140.0
Services,Endocrinologist Consultation,N/A,24,794.04,19057.0
Vaccines,Tetanus Toxoid Vaccine,N/A,36,500.0,18000.0
Medicines,Medicine,Heragest,269,65.0,17485.0
Ultrasound,Obstetrics and Gynecology Consultation,Biometry,14,1184.71,16586.0
Vaccines,Japanese Encephalitis Vaccine,N/A,4,4000.0,16000.0
Medicines,Miscellaneous,Tuli After Care Package,18,850.0,15300.0
Services,Surgery Consultation,N/A,26,580.77,15100.0
Vaccines,Varicella Vaccine,N/A,4,3500.0,14000.0
Medicines,Medicine,Multivitamins (Mosvit Elite),720,18.0,12960.0
Ultrasound,General Ultrasound,Whole Abdomen,8,1517.75,12142.0
Services,Urology Consultation,N/A,15,790.47,11857.0
