Category,Item,Option,Quantity,Total Amount,Total Costs,Profit
Services,Obstetrics and Gynecology Consultation,N/A,705,422786,0,422786
Services,Pediatrics Consultation,N/A,657,394048,0,394048
Ultrasound,Obstetrics and Gynecology Consultation,Transvaginal,171,204772,0,204772
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry,98,127168,0,127168
Vaccines,Rotateq Vaccine,N/A,49,122500,0,122500
Vaccines,"PCV ""Pneumoccoccal"" Vaccine",N/A,29,116000,0,116000
Ultrasound,Obstetrics and Gynecology Consultation,Congenital Anomaly Scan,36,90000,0,90000
Vaccines,Flu Vaccine,N/A,41,82000,0,82000
Vaccines,"6 IN 1 ""Hexaxim"" Vaccine",N/A,19,76000,0,76000
Ultrasound,Obstetrics and Gynecology Consultation,Pelvic,43,51600,0,51600
Others,Non-Stress Test,N/A,40,40000,0,40000
Services,REI,N/A,47,37600,0,37600
Medicines,Medicine,Heragest,505,32825,0,32825
Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),18,30600,0,30600
Ultrasound,Obstetrics and Gynecology Consultation,5D ULTRASOUND,9,27000,0,27000
Vaccines,TD Vaccine,N/A,31,26660,0,26660
Medical Certificate,Medical Certificate,N/A,53,26500,0,26500
Vaccines,Varicella Vaccine,N/A,7,24500,0,24500
Laboratory,Clinical Chemistry,75 Gram OGTT,20,24000,0,24000
Vaccines,MMR Vaccine,N/A,9,22500,0,22500
Ultrasound,Obstetrics and Gynecology Consultation,Biometry,18,21600,0,21600
Laboratory,Medical Packages,Thyroid Function Test,11,19800,0,19800
Services,Surgery Consultation,N/A,32,19200,0,19200
Ultrasound,Obstetrics and Gynecology Consultation,TVS w Follicle Monitoring,11,18700,0,18700
Laboratory,Clinical Microbiology,Papsmear,23,18400,0,18400
Laboratory,Medical Packages,Buntis Package B,7,17500,0,17500
Laboratory,Medical Packages,Wellness Package,7,17500,0,17500
Vaccines,Tetanus Toxoid Vaccine,N/A,33,16500,0,16500
Vaccines,Rotarix Vaccine,N/A,5,15000,0,15000
