Category,Item,Option, Quantity , Price Per Unit , Profit 
Services,Obstetrics and Gynecology Consultation,N/A, 702.00 , 599.54 ," 420,879.00 "
Services,Pediatrics Consultation,N/A, 651.00 , 599.11 ," 390,022.00 "
Ultrasound,Obstetrics and Gynecology Consultation,Transvaginal, 169.00 ," 1,198.73 "," 202,586.00 "
Vaccines,Rotateq Vaccine,N/A, 50.00 ," 2,500.00 "," 125,000.00 "
Vaccines,"PCV ""Pneumoccoccal"" Vaccine",N/A, 31.00 ," 4,000.00 "," 124,000.00 "
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry, 94.00 ," 1,300.00 "," 122,200.00 "
Vaccines,Flu Vaccine,N/A, 52.00 ," 2,000.00 "," 104,000.00 "
Vaccines,"6 IN 1 ""Hexaxim"" Vaccine",N/A, 25.00 ," 4,000.00 "," 100,000.00 "
Ultrasound,Obstetrics and Gynecology Consultation,Congenital Anomaly Scan, 36.00 ," 2,500.00 "," 90,000.00 "
Ultrasound,Obstetrics and Gynecology Consultation,Pelvic, 48.00 ," 1,200.00 "," 57,600.00 "
Vaccines,Japanese Encephalitis Vaccine,N/A, 12.00 ," 4,000.00 "," 48,000.00 "
Others,Non-Stress Test,N/A, 35.00 ," 1,000.00 "," 35,000.00 "
Laboratory,Clinical Microbiology,Papsmear, 40.00 , 792.85 ," 31,714.00 "
Medical Certificate,Medical Certificate,N/A, 62.00 , 500.00 ," 31,000.00 "
Services,REI,N/A, 34.00 , 800.00 ," 27,200.00 "
Ultrasound,Obstetrics and Gynecology Consultation,5D ULTRASOUND, 9.00 ," 3,000.00 "," 27,000.00 "
Ultrasound,Obstetrics and Gynecology Consultation,Biometry, 21.00 ," 1,200.00 "," 25,200.00 "
Vaccines,Rotarix Vaccine,N/A, 8.00 ," 3,000.00 "," 24,000.00 "
Vaccines,Tetanus Toxoid Vaccine,N/A, 47.00 , 500.00 ," 23,500.00 "
Vaccines,TD Vaccine,N/A, 26.00 , 860.00 ," 22,360.00 "
Surgeon,Surgery Procedure (4500),N/A, 5.00 ," 4,400.00 "," 22,000.00 "
Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral), 13.00 ," 1,564.46 "," 20,338.00 "
Services,Surgery Consultation,N/A, 31.00 , 593.10 ," 18,386.00 "
Medicines,Medicine,Calcium Carbonate + D3 (Calcidin)," 1,282.00 ", 12.00 ," 15,384.00 "
Vaccines,MMR Vaccine,N/A, 6.00 ," 2,500.00 "," 15,000.00 "
Laboratory,Medical Packages,Buntis Package B, 6.00 ," 2,500.00 "," 15,000.00 "
Medicines,Medicine,Heme Up, 707.00 , 19.79 ," 13,990.00 "
Medicines,Medicine,Heragest, 208.00 , 65.00 ," 13,520.00 "
Laboratory,Hematology,Complete Blood Count (CBC), 33.00 , 400.00 ," 13,200.00 "
Laboratory,Clinical Chemistry,75 Gram OGTT, 11.00 ," 1,200.00 "," 13,200.00 "
Vaccines,MMRV Vaccine,N/A, 2.00 ," 6,500.00 "," 13,000.00 "
Services,Endocrinologist Consultation,N/A, 16.00 , 773.19 ," 12,371.00 "
Medicines,Medicine,Multivitamins (Mosvit Elite), 652.00 , 18.00 ," 11,736.00 "
Ultrasound,General Ultrasound,Whole Abdomen, 7.00 ," 1,656.57 "," 11,596.00 "
Services,Cardiology Consultation,N/A, 15.00 , 761.87 ," 11,428.00 "
Medical Certificate,Swab Test,N/A, 9.00 ," 1,200.00 "," 10,800.00 "
Ultrasound,Obstetrics and Gynecology Consultation,Transrectal, 9.00 ," 1,200.00 "," 10,800.00 "
Vaccines,Varicella Vaccine,N/A, 3.00 ," 3,500.00 "," 10,500.00 "
Laboratory,Clinical Chemistry,HIV Screening, 16.00 , 650.00 ," 10,400.00 "
