Category,Item,Option,Quantity,Price per Unit,Total Profit
Services,Obstetrics and Gynecology Consultation,N/A,690,598.70,"413,101.00"
Services,Pediatrics Consultation,N/A,605,597.80,"361,672.00"
Ultrasound,Obstetrics and Gynecology Consultation,Transvaginal,168,"1,196.18","200,958.00"
Vaccines,Rotateq Vaccine,N/A,47,"2,500.00","117,500.00"
Vaccines,"PCV ""Pneumoccoccal"" Vaccine",N/A,29,"4,000.00","116,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,BPS + Biometry,83,"1,297.20","107,668.00"
Vaccines,Flu Vaccine,N/A,54,"1,990.74","107,500.00"
Ultrasound,Obstetrics and Gynecology Consultation,Congenital Anomaly Scan,40,"2,488.85","99,554.00"
Vaccines,"6 IN 1 ""Hexaxim"" Vaccine",N/A,20,"4,000.00","80,000.00"
Ultrasound,Obstetrics and Gynecology Consultation,Pelvic,42,"1,194.90","50,186.00"
Medical Certificate,Medical Certificate,N/A,77,500.00,"38,500.00"
Services,REI,N/A,42,800.00,"33,600.00"
Others,Non-Stress Test,N/A,30,"1,000.00","30,000.00"
Vaccines,Japanese Encephalitis Vaccine,N/A,7,"4,000.00","28,000.00"
Laboratory,Clinical Microbiology,Papsmear,34,795.79,"27,057.00"
Vaccines,TD Vaccine,N/A,29,860.00,"24,940.00"
Vaccines,Rotarix Vaccine,N/A,8,"3,000.00","24,000.00"
Medical Certificate,Swab Test,N/A,19,"1,188.74","22,586.00"
Laboratory,Medical Packages,Buntis Package B,9,"2,500.00","22,500.00"
Services,Endocrinologist Consultation,N/A,28,779.57,"21,828.00"
Laboratory,Medical Packages,Thyroid Function Test,10,"1,800.00","18,000.00"
Vaccines,Tetanus Toxoid Vaccine,N/A,36,500.00,"18,000.00"
Laboratory,Clinical Chemistry,75 Gram OGTT,15,"1,200.00","18,000.00"
Medicines,Medicine,Heragest,276,65.00,"17,940.00"
Vaccines,MMR Vaccine,N/A,7,"2,500.00","17,500.00"
Vaccines,Varicella Vaccine,N/A,5,"3,500.00","17,500.00"
Ultrasound,Obstetrics and Gynecology Consultation,Biometry,14,"1,200.00","16,800.00"
Medicines,Medicine,Cholecalciferol + Calcium (Calvit Gold),1065,15.00,"15,975.00"
Ultrasound,Obstetrics and Gynecology Consultation,5D ULTRASOUND,5,"3,000.00","15,000.00"
Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),9,"1,666.22","14,996.00"
Vaccines,Gardasil 4 Vaccine,N/A,3,"4,500.00","13,500.00"
Medicines,Medicine,Heme Up,659,20.00,"13,180.00"
Vaccines,Hepatitis A Vaccine,N/A,5,"2,500.00","12,500.00"
Vaccines,Meningococcal Vaccine,N/A,3,"4,000.00","12,000.00"
Laboratory,Clinical Chemistry,HIV Screening,17,650.00,"11,050.00"
Medicines,Medicine,Multivitamins (Mosvit Elite),753,14.12,"10,634.00"
Services,Cardiology Consultation,N/A,14,747.93,"10,471.00"
Ultrasound,Obstetrics and Gynecology Consultation,TVS w Follicle Monitoring,6,"1,700.00","10,200.00"
Medicines,Family Planning,DMPA (Depotrust),20,500.00,"10,000.00"
Services,Urology Consultation,N/A,13,767.00,"9,971.00"
Laboratory,Hematology,Complete Blood Count (CBC),24,400.00,"9,600.00"
