Category,Item,Option,Quantity,Price per Unit,Total Profit
SERVICES,OBGYN Consult,N/A,707,584.69,"413,373.00"
SERVICES,PEDIA Consult,N/A,494,590.47,"291,693.00"
UTZ,OBSTETRICS and GYNECOLOGY,Transvaginal,178,"1,191.15","212,024.00"
SERVICES,Laser Circumcision,N/A,31,"4,500.00","139,500.00"
UTZ,OBSTETRICS and GYNECOLOGY,Congenital Anomaly Scan,51,"2,490.20","127,000.00"
UTZ,OBSTETRICS and GYNECOLOGY,BPS + Biometry,86,"1,297.29","111,567.00"
VACCINES,FLU VACCINE,N/A,54,"2,000.00","108,000.00"
VACCINES,ROTATEQ,N/A,40,"2,500.00","100,000.00"
VACCINES,"PCV ""Pneumococcal""",N/A,24,"4,000.00","96,000.00"
VACCINES,"6 IN 1 ""Hexaxim""",N/A,21,"4,000.00","84,000.00"
UTZ,OBSTETRICS and GYNECOLOGY,Pelvic,49,"1,195.10","58,560.00"
SERVICES,Regular Circumcision,N/A,15,"2,500.00","37,500.00"
SERVICES,Endocrinologist Consult,N/A,47,790.87,"37,171.00"
SERVICES,REI,N/A,42,796.60,"33,457.00"
MEDS,MEDICINE,Heragest,479,64.27,"30,787.00"
VACCINES,ROTARIX,N/A,10,"3,000.00","30,000.00"
VACCINES,JAP ENCEPH,N/A,7,"4,000.00","28,000.00"
LABS,PACKAGES,Buntis Package B,11,"2,481.82","27,300.00"
LABS,MICROBIOLOGY,Papsmear,34,795.79,"27,057.00"
UTZ,OBSTETRICS and GYNECOLOGY,5D ULTRASOUND,9,"3,000.00","27,000.00"
LABS,PACKAGES,Thyroid Function Test,14,"1,800.00","25,200.00"
VACCINES,VARICELLA,N/A,7,"3,500.00","24,500.00"
OTHERS,NST,N/A,23,992.22,"22,821.00"
LABS,CLINICAL CHEMISTRY,75 Gram OGTT,19,"1,200.00","22,800.00"
Surgeon,Surgery Procedure (4500),N/A,5,"4,500.00","22,500.00"
VACCINES,GARDASIL 9,N/A,2,"10,000.00","20,000.00"
UTZ,OBSTETRICS and GYNECOLOGY,Biometry,17,"1,171.76","19,920.00"
MED CERT,Medical Certificate,N/A,39,497.69,"19,410.00"
VACCINES,TT,N/A,38,500.00,"19,000.00"
VACCINES,TD,N/A,22,853.00,"18,766.00"
