Category,Item,Option,Quantity,Price Per Unit,Total Profit
Services,OBGYN Consult,N/A,626,599.05,"375,007.93"
Services,PEDIA Consult,N/A,530,599.54,"317,757.47"
Ultrasound,OBSTETRICS and GYNECOLOGY,Transvaginal,234,"1,195.43","279,730.00"
Vaccines,6 IN 1,N/A,22,"4,000.00","88,000.00"
Ultrasound,OBSTETRICS and GYNECOLOGY,Congenital Anomaly Scan,34,"2,500.00","85,000.00"
Vaccines,ROTARIX,N/A,26,"3,000.00","78,000.00"
Vaccines,PCV,N/A,19,"4,000.00","76,000.00"
Ultrasound,OBSTETRICS and GYNECOLOGY,BPS + Biometry,58,"1,300.00","75,400.00"
Vaccines,ROTATEQ,N/A,24,"2,500.00","60,000.00"
Ultrasound,OBSTETRICS and GYNECOLOGY,Pelvic,40,"1,200.00","48,000.00"
Laboratory,PACKAGES,Buntis Package B,17,"2,500.00","42,500.00"
Services,REI,N/A,47,793.91,"37,314.00"
Vaccines,MENINGO,N/A,9,"4,000.00","36,000.00"
Medicines,MEDICINE,Calcium (Calsure Boncare),2391,12.00,"28,692.00"
Medicines,MEDICINE,Gestron,429,65.00,"27,885.00"
Laboratory,PACKAGES,Thyroid Function Test,15,"1,800.00","27,000.00"
Vaccines,VARICELLA,N/A,7,"3,500.00","24,500.00"
Medical Certificate,SWAB,N/A,19,"1,200.00","22,800.00"
Laboratory,MICROBIOLOGY,Papsmear,46,449.53,"20,678.60"
Vaccines,TD,N/A,24,860.00,"20,640.00"
Laboratory,CLINICAL CHEMISTRY,75 Gram OGTT,17,"1,200.00","20,400.00"
Vaccines,JAP ENCEPH,N/A,5,"4,000.00","20,000.00"
Surgeon,Surgery Procedure (9500),N/A,2,"9,500.00","19,000.00"
Vaccines,MMR,N/A,7,"2,500.00","17,500.00"
Medicines,MEDICINE,Multivitamins (Obtrene),1427,12.00,"17,124.00"
Services,Urologist Consult,N/A,18,792.06,"14,257.00"
Laboratory,CLINICAL CHEMISTRY,HIV Screening,21,650.00,"13,650.00"
Surgeon,Surgery Procedure (4500),N/A,3,"4,500.00","13,500.00"
Medicines,FAMILY PLANNING,DMPA (Depotrust),27,500.00,"13,500.00"
Medical Certificate,MEDICAL CERTIFICATE,N/A,66,200.00,"13,200.00"
Services,Cardio,N/A,17,760.65,"12,931.04"
Ultrasound,OBSTETRICS and GYNECOLOGY,5D ULTRASOUND,4,"3,000.00","12,000.00"
Ultrasound,GENERAL ULTRASOUND,Scrotal Ultrasound (with Doppler),7,"1,700.00","11,900.00"
Ultrasound,GENERAL ULTRASOUND,Whole Abdomen,7,"1,583.71","11,085.96"
Surgeon,Surgery Procedure (10500),N/A,1,"10,500.00","10,500.00"
Ultrasound,OBSTETRICS and GYNECOLOGY,TVS w Follicle Monitoring,6,"1,700.00","10,200.00"
Services,Surgery Consult,N/A,20,504.65,"10,093.00"
Vaccines,TT,N/A,20,500.00,"10,000.00"
Surgeon,Surgery Procedure (9000),N/A,1,"9,000.00","9,000.00"
Vaccines,GARDASIL 4,N/A,2,"4,500.00","9,000.00"
Laboratory,HEMATOLOGY,Complete Blood Count (CBC),22,400.00,"8,800.00"
Laboratory,PACKAGES,Buntis Package A,5,"1,700.00","8,500.00"
Surgeon,Surgery Procedure (8500),N/A,1,"8,500.00","8,500.00"
Laboratory,CLINICAL MICROSCOPY,Urinalysis,38,199.05,"7,564.00"
Ultrasound,OBSTETRICS and GYNECOLOGY,3D-4D Ultrasound,3,"2,500.00","7,500.00"
Surgeon,Surgery Procedure (7500),N/A,1,"7,500.00","7,500.00"
Vaccines,HEPA A,N/A,3,"2,500.00","7,500.00"
Medicines,MEDICINE,Ferrous + Folic Acid (Prenat),624,12.00,"7,488.00"
Medicines,MEDICINE,Medroxyprogesterone (DB-10),93,80.00,"7,440.00"
Services,Endocrinologist Consult,N/A,9,800.00,"7,200.00"
