Category,Item,Option,Quantity,Price Per Unit,Total Profit
Services,Obstetrics and Gynecology Consultation,N/A,665.00,598.20,"397,800.00"
Services,PEDIA Consult,N/A,535.00,597.69,"319,765.10"
Ultrasound,Obstetrics and Gynecology,Transvaginal,218.00,"1,197.25","261,000.00"
Vaccines,PCV,N/A,40.00,"3,972.07","158,882.88"
Ultrasound,Obstetrics and Gynecology,Congenital Anomaly Scan,54.00,"2,500.00","135,000.00"
Vaccines,6 IN 1,N/A,29.00,"3,961.48","114,882.88"
Ultrasound,Obstetrics and Gynecology,BPS + Biometry,74.00,"1,296.86","95,968.00"
Vaccines,ROTATEQ,N/A,35.00,"2,480.05","86,801.80"
Vaccines,FLU VACCINE,N/A,43.00,"2,000.00","86,000.00"
Vaccines,ROTARIX,N/A,27.00,"3,000.00","81,000.00"
Ultrasound,Obstetrics and Gynecology,Pelvic,47.00,"1,194.89","56,160.00"
Surgeon,Surgery Procedure (8500),N/A,5.00,"8,500.00","42,500.00"
Surgeon,Surgery Procedure (9500),N/A,4.00,"9,500.00","38,000.00"
Laboratory,PACKAGES,Thyroid Function Test,19.00,"1,800.00","34,200.00"
Laboratory,PACKAGES,Buntis Package B,13.00,"2,500.00","32,500.00"
Services,REI,N/A,40.00,800.00,"32,000.00"
Vaccines,MMR,N/A,11.00,"2,500.00","27,500.00"
Medical Certificate,SWAB,N/A,22.00,"1,190.27","26,186.00"
Ultrasound,Obstetrics and Gynecology,5D ULTRASOUND,8.00,"3,000.00","24,000.00"
Medicines,MEDICINE,Calcium (Calsure Boncare),"1,998.00",12.00,"23,976.00"
Ultrasound,Obstetrics and Gynecology,Biometry,20.00,"1,188.00","23,760.00"
Vaccines,MENINGO,N/A,6.00,"3,881.00","23,286.00"
Laboratory,Clinical Chemistry,75 Gram OGTT,19.00,"1,200.00","22,800.00"
Medicines,MEDICINE,Multivitamins (Obtrene),"1,854.00",12.00,"22,248.00"
Surgeon,"Surgery Procedure (10,500)",N/A,2.00,"10,500.00","21,000.00"
Vaccines,TD,N/A,24.00,860.00,"20,640.00"
Vaccines,JAP ENCEPH,N/A,5.00,"4,000.00","20,000.00"
Laboratory,MICROBIOLOGY,Papsmear,38.00,450.00,"17,100.00"
Laboratory,PACKAGES,Buntis Package A,10.00,"1,700.00","17,000.00"
Ultrasound,GENERAL ULTRASOUND,Breast - Chest Ultrasound (Bilateral),10.00,"1,669.70","16,697.00"
Ultrasound,Obstetrics and Gynecology,3D-4D Ultrasound,6.00,"2,500.00","15,000.00"
Services,Urologist Consult,N/A,18.00,800.00,"14,400.00"
Services,Cardiology Consultation,N/A,19.00,742.74,"14,112.00"
Medicines,MEDICINE,Evening Primrose (Primdin),572.00,24.64,"14,095.00"
Vaccines,VARICELLA,N/A,4.00,"3,500.00","14,000.00"
Ultrasound,Obstetrics and Gynecology,TVS w Follicle Monitoring,8.00,"1,700.00","13,600.00"
Vaccines,MMRV,N/A,2.00,"6,500.00","13,000.00"
Medical Certificate,MEDICAL CERTIFICATE,N/A,65.00,200.00,"13,000.00"
Surgeon,Surgery Procedure (11500),N/A,1.00,"11,500.00","11,500.00"
Services,Surgery Consult,N/A,20.00,564.60,"11,292.00"
Laboratory,Clinical Chemistry,HIV Screening,17.00,650.00,"11,050.00"
Vaccines,TT,N/A,21.00,500.00,"10,500.00"
Medicines,Family Planning,DMPA (Depotrust),21.00,500.00,"10,500.00"
Medicines,MEDICINE,Ferrous + Folic Acid (Prenat),838.00,12.00,"10,056.00"
Surgeon,Surgery Procedure (4500),N/A,2.00,"4,500.00","9,000.00"
Laboratory,HEMATOLOGY,Complete Blood Count (CBC),22.00,400.00,"8,800.00"
Medicines,MEDICINE,Gestron,128.00,65.00,"8,320.00"
Services,IM,N/A,11.00,748.00,"8,228.00"
Medicines,MEDICINE,Metindaz,63.00,130.00,"8,190.00"
Medicines,MEDICINE,Dydrogesterone (Duphaston),94.00,85.00,"7,990.00"
Vaccines,HEPA A,N/A,3.00,"2,500.00","7,500.00"
Ultrasound,Obstetrics and Gynecology,Transrectal,6.00,"1,200.00","7,200.00"
Ultrasound,GENERAL ULTRASOUND,Scrotal Ultrasound (with Doppler),4.00,"1,700.00","6,800.00"
Laboratory,OTHERS,HbA1c,12.00,550.00,"6,600.00"
Surgeon,Surgery Procedure (6500),N/A,1.00,"6,500.00","6,500.00"
Services,Ear Piercing,N/A,6.00,"1,000.00","6,000.00"
Laboratory,HEMATOLOGY,Platelet Count (PC),24.00,250.00,"6,000.00"
Laboratory,PACKAGES,Lipid Profile,6.00,970.17,"5,821.00"
Ultrasound,GENERAL ULTRASOUND,Inguinoscrotal Ultrasound (with doppler),3.00,"1,900.00","5,700.00"
Laboratory,MICROBIOLOGY,Urine C-S,7.00,800.00,"5,600.00"
Medicines,MEDICINE,Ferrous Fumarate + B2+B12+ Folic Acid (Hematrene),466.00,12.00,"5,592.00"
Medicines,MEDICINE,Vitamin C + Zinc (Pearly-C),447.00,12.00,"5,364.00"
Ultrasound,GENERAL ULTRASOUND,Whole Abdomen,3.00,"1,700.00","5,100.00"
