Category,Item,Option,Quantity,Piece Per Unit,Total Profit
SERVICES,OBGYN Consult,N/A,728,597.53,435000.00
SERVICES,PEDIA Consult,N/A,552,600.00,331200.00
UTZ,OBSTETRICS and GYNECOLOGY,Transvaginal,164,1190.07,195172.00
SERVICES,Laser Circumcision,N/A,43,4360.47,187500.00
UTZ,OBSTETRICS and GYNECOLOGY,Congenital Anomaly Scan,57,2500.00,142500.00
VACCINES,FLU VACCINE,N/A,68,1992.65,135500.00
VACCINES,"PCV ""Pneumococcal""",N/A,32,4000.00,128000.00
VACCINES,ROTATEQ,N/A,47,2500.00,117500.00
UTZ,OBSTETRICS and GYNECOLOGY,BPS + Biometry,85,1291.15,109748.00
VACCINES,"6 IN 1 ""Hexaxim""",N/A,27,4000.00,108000.00
SERVICES,Regular Circumcision,N/A,35,2487.26,87054.00
UTZ,OBSTETRICS and GYNECOLOGY,Pelvic,55,1200.00,66000.00
OTHERS,NST,N/A,35,1000.00,35000.00
Surgeon,Surgery Procedure (2500),N/A,13,2500.00,32500.00
MED CERT,MEDICAL CERTIFICATE,N/A,63,500.00,31500.00
VACCINES,ROTARIX,N/A,10,3000.00,30000.00
LABS,PACKAGES,Buntis Package B,12,2500.00,30000.00
MED CERT,SWAB,N/A,24,1200.00,28800.00
Surgeon,Surgery Procedure (9500),N/A,3,9500.00,28500.00
UTZ,GENERAL ULTRASOUND,Breast - Chest Ultrasound (Bilateral),16,1700.00,27200.00
Surgeon,Surgery Procedure (4500),N/A,6,4500.00,27000.00
LABS,MICROBIOLOGY,Papsmear,33,800.00,26400.00
SERVICES,REI,N/A,32,791.06,25314.00
LABS,PACKAGES,Thyroid Function Test,14,1800.00,25200.00
UTZ,OBSTETRICS and GYNECOLOGY,5D ULTRASOUND,8,3000.00,24000.00
LABS,CLINICAL CHEMISTRY,75 Gram OGTT,20,1189.30,23786.00
VACCINES,TD,N/A,27,822.44,22206.00
VACCINES,MMR,N/A,8,2500.00,20000.00
VACCINES,MMRV,N/A,3,6500.00,19500.00
MEDS,MEDICINE,Cholecalciferol + Calcium (Calvit Gold),1276,15.00,19140.00
SERVICES,Endocrinologist Consult,N/A,24,794.04,19057.00
VACCINES,TT,N/A,36,500.00,18000.00
MEDS,MEDICINE,Heragest,269,65.00,17485.00
UTZ,OBSTETRICS and GYNECOLOGY,Biometry,14,1184.71,16586.00
VACCINES,JAP ENCEPH,N/A,4,4000.00,16000.00
MEDS,OTHERS,Tuli After Care Package,18,850.00,15300.00
SERVICES,Surgery Consult,N/A,26,580.77,15100.00
