Category,Item,Option,Quantity,Piece Per Unit,Total Profit
SERVICES,OBGYN Consult,N/A,699,599.25,418879.00
SERVICES,PEDIA Consult,N/A,556,599.81,333493.00
UTZ,OBSTETRICS and GYNECOLOGY,Transvaginal,199,1198.92,238586.00
SERVICES,Laser Circumcision,N/A,37,4445.95,164500.00
VACCINES,FLU VACCINE,N/A,75,1995.23,149642.00
UTZ,OBSTETRICS and GYNECOLOGY,Congenital Anomaly Scan,56,2500.00,140000.00
UTZ,OBSTETRICS and GYNECOLOGY,BPS + Biometry,73,1300.00,94900.00
VACCINES,ROTATEQ,N/A,31,2500.00,77500.00
UTZ,OBSTETRICS and GYNECOLOGY,Pelvic,62,1200.00,74400.00
VACCINES,"6 IN 1 ""Hexaxim""",N/A,18,4000.00,72000.00
VACCINES,"PCV ""Pneumococcal""",N/A,16,4000.00,64000.00
VACCINES,ROTARIX,N/A,21,3000.00,63000.00
SERVICES,Regular Circumcision,N/A,24,2500.00,60000.00
OTHERS,NST,N/A,40,1000.00,40000.00
MED CERT,SWAB,N/A,33,1200.00,39600.00
VACCINES,GARDASIL 9,N/A,4,8875.00,35500.00
LABS,PACKAGES,Thyroid Function Test,19,1783.05,33878.00
UTZ,OBSTETRICS and GYNECOLOGY,3D-4D Ultrasound,12,2425.58,29107.00
MED CERT,MEDICAL CERTIFICATE,N/A,70,410.00,28700.00
LABS,MICROBIOLOGY,Papsmear,36,792.06,28514.00
VACCINES,JAP ENCEPH,N/A,7,4000.00,28000.00
SERVICES,REI,N/A,35,800.00,28000.00
SERVICES,Endocrinologist Consult,N/A,33,800.00,26400.00
MEDS,OTHERS,DERMLIN,12,2000.00,24000.00
LABS,PACKAGES,Buntis Package B,9,2500.00,22500.00
MEDS,MEDICINE,Calcium Carbonate + D3 (Calcidin),1804,12.00,21648.00
UTZ,OBSTETRICS and GYNECOLOGY,5D ULTRASOUND,7,2923.43,20464.00
LABS,CLINICAL CHEMISTRY,75 Gram OGTT,16,1200.00,19200.00
MEDS,MEDICINE,Multivitamins (Mosvit Elite),1065,18.00,19170.00
SERVICES,Urologist Consult,N/A,24,788.08,18914.00
