Category,Item,Option,Quantity,Price Per Unit,Total Revenue
Services,OBGYN Consult,N/A,657,599.22,"393,686.00"
Services,PEDIA Consult,N/A,611,599.28,"366,159.00"
Ultrasound,OBGYN Consult,Transvaginal,207,"1,194.28","247,216.00"
Ultrasound,OBGYN Consult,Congenital Anomaly Scan,46,"2,500.00","115,000.00"
Ultrasound,OBGYN Consult,BPS + Biometry,62,"1,300.00","80,600.00"
Vaccines,6 IN 1,N/A,18,"3,972.22","71,500.00"
Vaccines,PCV,N/A,15,"4,000.00","60,000.00"
Ultrasound,OBGYN Consult,Pelvic,45,"1,200.00","54,000.00"
Laboratory,Packages,Buntis Package B,19,"2,500.00","47,500.00"
Services,REI,N/A,52,800.00,"41,600.00"
Others,NST,N/A,40,"1,000.00","40,000.00"
Vaccines,ROTARIX,N/A,11,"3,000.00","33,000.00"
Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),19,"1,700.00","32,300.00"
Services,Endocrinologist Consult,N/A,33,795.67,"26,257.00"
Medicines,Medicine,Calcium Carbonate + D3 (Calcidin),"2,029",12.00,"24,348.00"
Vaccines,Flu Vaccine,N/A,12,"2,000.00","24,000.00"
Medicines,Medicine,Gestron,366,65.00,"23,790.00"
Laboratory,Packages,Thyroid Function Test,13,"1,800.00","23,400.00"
Medicines,Medicine,Multivitamins (Mosvit Elite),"1,281",18.00,"23,058.00"
Laboratory,Microbiology,Pap Smear,49,448.37,"21,970.00"
Ultrasound,OBGYN Consult,Biometry,18,"1,200.00","21,600.00"
Services,Surgery Consult,N/A,37,578.00,"21,386.00"
Services,Urologist Consult,N/A,26,772.23,"20,078.00"
Vaccines,MENINGO,N/A,5,"4,000.00","20,000.00"
Vaccines,MMR,N/A,8,"2,500.00","20,000.00"
Ultrasound,OBGYN Consult,5D Ultrasound,6,"3,000.00","18,000.00"
Vaccines,TYPHOID,N/A,6,"3,000.00","18,000.00"
Ultrasound,OBGYN Consult,TVS w Follicle Monitoring,10,"1,700.00","17,000.00"
Medical Certificate,SWAB,N/A,14,"1,200.00","16,800.00"
Vaccines,HEPA A,N/A,6,"2,500.00","15,000.00"
Ultrasound,General Ultrasound,Whole Abdomen,9,"1,628.44","14,656.00"
Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),8,"1,700.00","13,600.00"
Vaccines,TT,N/A,27,500.00,"13,500.00"
Services,Surgery Procedure (4500),N/A,3,"4,500.00","13,500.00"
Vaccines,TD,N/A,15,860.00,"12,900.00"
Ultrasound,OBGYN Consult,3D-4D Ultrasound,5,"2,500.00","12,500.00"
Vaccines,VARICELLA,N/A,3,"3,500.00","10,500.00"
Medicines,Medicine,Sodermix,4,"2,500.00","10,000.00"
Medicines,Family Planning,DMPA (Depotrust),20,500.00,"10,000.00"
Laboratory,Clinical Chemistry,HIV Screening,15,650.00,"9,750.00"
Vaccines,GARDASIL 4,N/A,2,"4,500.00","9,000.00"
Services,Surgery Procedure (3500),N/A,3,"3,000.00","9,000.00"
Medical Certificate,Medical Certificate,N/A,45,200.00,"9,000.00"
Medicines,Medicine,Medroxyprogesterone (DB-10),110,80.00,"8,800.00"
Ultrasound,OBGYN Consult,Transrectal,7,"1,200.00","8,400.00"
Medicines,Medicine,Folic Acid (Quatrofol),559,15.00,"8,385.00"
Vaccines,JAP ENCEPH,N/A,2,"4,000.00","8,000.00"
Services,Implant Insertion,N/A,2,"4,000.00","8,000.00"
Laboratory,Hematology,Complete Blood Count (CBC),20,400.00,"8,000.00"
Medicines,Family Planning,FAYE,13,600.00,"7,800.00"
Medicines,Medicine,Ferrous Fumarate + B2+B12+ Folic Acid (Hematrene),612,12.00,"7,344.00"
Laboratory,Clinical Chemistry,75 Gram OGTT,6,"1,200.00","7,200.00"
Services,Ear Piercing,N/A,7,"1,000.00","7,000.00"
Ultrasound,OBGYN Consult,BPS with Doppler,3,"2,300.00","6,900.00"
Vaccines,MMRV,N/A,1,"6,500.00","6,500.00"
Medicines,Medicine,Evening Primrose (Primdin),182,35.00,"6,370.00"
Medicines,Medicine,Mupirocin Ointment (Mupiderm),25,250.00,"6,250.00"
Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),4,"1,400.00","5,600.00"
Medicines,Medicine,Calcium (Calsure Boncare),461,12.00,"5,532.00"
Services,Surgery Procedure (6500),N/A,1,"5,500.00","5,500.00"
Medicines,Medicine,Ferrous + Folic Acid (Prenat),449,12.00,"5,388.00"
Services,Surgery Procedure (2500),N/A,2,"2,500.00","5,000.00"
Laboratory,Clinical Microscopy,Urinalysis,24,200.00,"4,800.00"
Medicines,Medicine,Clindamycin (Vagilin),28,170.00,"4,760.00"
Ultrasound,OBGYN Consult,BPS - DOPPLER VELOCIMETRY,2,"2,300.00","4,600.00"
Services,Laser Circumcision,N/A,1,"4,500.00","4,500.00"
Medicines,Medicine,Clindamycin Phosphate (Vagclr-M),18,250.00,"4,500.00"
Medicines,Medicine,Vitamin C + Zinc (Pearly-C),353,12.00,"4,236.00"
Vaccines,"PCV ""Pneumococcal""",N/A,1,"4,000.00","4,000.00"
Vaccines,IPV,N/A,4,"1,000.00","4,000.00"
