Category,Item,Option,Quantity,Price Per Unit,Total Profit
Services,OBGYN Consult,N/A,700,599.39,"419,572.00"
Services,PEDIA Consult,N/A,643,599.67,"385,586.00"
Ultrasound,OBGYN Consult,Transvaginal,213,"1,197.99","255,172.00"
Vaccines,Flu Vaccine,N/A,76,"1,995.30","151,643.00"
Ultrasound,OBGYN Consult,Congenital Anomaly Scan,52,"2,491.40","129,553.00"
Vaccines,"PCV ""Pneumococcal""",N/A,26,"4,000.00","104,000.00"
Vaccines,ROTATEQ,N/A,39,"2,500.00","97,500.00"
Vaccines,"6 IN 1 ""Hexaxim""",N/A,24,"4,000.00","96,000.00"
Ultrasound,OBGYN Consult,Pelvic,70,"1,196.94","83,785.71"
Ultrasound,OBGYN Consult,BPS + Biometry,53,"1,300.00","68,900.00"
Services,Laser Circumcision,N/A,15,"4,500.00","67,500.00"
Laboratory,Packages,Buntis Package B,16,"2,500.00","40,000.00"
Vaccines,GARDASIL 9,N/A,4,"9,553.50","38,214.00"
Services,REI,N/A,46,800.00,"36,800.00"
Laboratory,Packages,Thyroid Function Test,20,"1,800.00","36,000.00"
Services,Endocrinologist Consult,N/A,44,787.00,"34,628.00"
Vaccines,ROTARIX,N/A,11,"3,000.00","33,000.00"
Laboratory,Microbiology,Papsmear,37,800.00,"29,600.00"
Medicines,Medicine,Multivitamins (Mosvit Elite),"1,292",18.00,"23,256.00"
Medical Certificate,SWAB,N/A,18,"1,200.00","21,600.00"
Ultrasound,OBGYN Consult,5D Ultrasound,7,"3,000.00","21,000.00"
Vaccines,MMR,N/A,8,"2,500.00","20,000.00"
Ultrasound,OBGYN Consult,Biometry,16,"1,186.63","18,986.00"
Vaccines,TD,N/A,22,860.00,"18,920.00"
Services,Urologist Consult,N/A,24,782.13,"18,771.00"
Services,Surgery Consult,N/A,31,553.71,"17,165.00"
Medicines,Medicine,Calcium Carbonate + D3 (Calcidin),"1,379",12.00,"16,548.00"
Vaccines,JAP ENCEPH,N/A,4,"4,000.00","16,000.00"
Medicines,Medicine,Ferrous + Folic Acid (Prenat),"1,314",12.00,"15,768.00"
Medicines,Family Planning,DMPA (Depotrust),29,496.90,"14,410.00"
Medicines,OTHERS,DERMLIN,7,"2,000.00","14,000.00"
Laboratory,Clinical Chemistry,HIV Screening,21,650.00,"13,650.00"
Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),8,"1,700.00","13,600.00"
Vaccines,TT,N/A,26,500.00,"13,000.00"
Services,Regular Circumcision,N/A,5,"2,500.00","12,500.00"
Medical Certificate,Medical Certificate,N/A,62,200.00,"12,400.00"
Medicines,Medicine,Gestron,184,65.00,"11,960.00"
Laboratory,Packages,Buntis Package A,7,"1,700.00","11,900.00"
Ultrasound,Surgery Procedure (11500),N/A,1,"11,500.00","11,500.00"
Services,Cardio,N/A,14,789.79,"11,057.00"
Vaccines,VARICELLA,N/A,3,"3,500.00","10,500.00"
Ultrasound,OBGYN Consult,TVS w Follicle Monitoring,6,"1,700.00","10,200.00"
Laboratory,Clinical Chemistry,75 Gram OGTT,8,"1,200.00","9,600.00"
Ultrasound,Surgery Procedure (4500),N/A,2,"4,500.00","9,000.00"
Vaccines,GARDASIL 4,N/A,2,"4,500.00","9,000.00"
Others,NST,N/A,9,"1,000.00","9,000.00"
Ultrasound,General Ultrasound,Whole Abdomen,5,"1,639.20","8,196.00"
Medicines,Medicine,Heragest,124,65.00,"8,060.00"
Vaccines,MENINGO,N/A,2,"4,000.00","8,000.00"
Ultrasound,Surgery Procedure (2500),N/A,3,"2,500.00","7,500.00"
Ultrasound,OBGYN Consult,Transrectal,6,"1,164.33","6,986.00"
Laboratory,Hematology,Complete Blood Count (CBC),17,400.00,"6,800.00"
Medicines,Medicine,Calcium (Calsure Boncare),558,12.00,"6,696.00"
Laboratory,Clinical Chemistry,FBS,10,650.00,"6,500.00"
Services,Ear Piercing,N/A,6,"1,000.00","6,000.00"
Laboratory,OTHERS,HbA1c,10,550.00,"5,500.00"
Medicines,Medicine,Mupirocin Ointment (Mupiderm),21,250.00,"5,250.00"
Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),3,"1,700.00","5,100.00"
Vaccines,HEPA A,N/A,2,"2,500.00","5,000.00"
Vaccines,IPV,N/A,5,"1,000.00","5,000.00"
Ultrasound,OBGYN Consult,3D-4D Ultrasound,2,"2,500.00","5,000.00"
Laboratory,Microbiology,Urine C-S,6,800.00,"4,800.00"
Services,IUD Insertion,N/A,2,"2,300.00","4,600.00"
Laboratory,Hematology,ABO RH Typing,15,300.00,"4,500.00"
Vaccines,PPD,N/A,9,500.00,"4,500.00"
Services,Implant Insertion,N/A,1,"4,000.00","4,000.00"
Ultrasound,Surgery procedure (2000),N/A,2,"2,000.00","4,000.00"
Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),3,"1,316.67","3,950.00"
Laboratory,Packages,Lipid Profile,4,955.25,"3,821.00"
Medicines,Medicine,Evening Primrose (PRIMAVIX),107,35.00,"3,745.00"
Laboratory,Clinical Microscopy,Urinalysis,18,200.00,"3,600.00"
Medical Certificate,Cardio Clearance,N/A,1,"3,500.00","3,500.00"
Vaccines,HEPA B IG,N/A,1,"3,500.00","3,500.00"
Ultrasound,General Ultrasound,Neck Ultrasound (Thyroid Submandibular and Lymph Nodes),2,"1,700.00","3,400.00"
Laboratory,Hematology,Platelet Count (PC),13,250.00,"3,250.00"
Laboratory,Clinical Chemistry,HBsAg Screening,7,450.00,"3,150.00"
Laboratory,Clinical Chemistry,VDRL-RPR,7,450.00,"3,150.00"
Medicines,Medicine,Folic Acid (Quatrofol),208,15.00,"3,120.00"
Medicines,Medicine,Medroxyprogesterone (DB-10),38,80.00,"3,040.00"
Vaccines,TYPHOID,N/A,1,"3,000.00","3,000.00"
Medicines,Medicine,Cefuroxime Axetil (Aerox),84,35.00,"2,940.00"
Medicines,Medicine,Vitamin C + Zinc (Pearly-C),222,12.00,"2,664.00"
Ultrasound,General Ultrasound,Soft Tissue Ultrasound (ex. Axillary),2,"1,200.00","2,400.00"
Medicines,Family Planning,FAYE,4,600.00,"2,400.00"
Medicines,Medicine,Clindamycin (Vagilin),14,170.00,"2,380.00"
Services,IUD Removal,N/A,1,"2,300.00","2,300.00"
Ultrasound,OBGYN Consult,BPS with Doppler,1,"2,300.00","2,300.00"
Medicines,Family Planning,IUD Insertion - UD Removal,1,"2,300.00","2,300.00"
Services,IM,N/A,3,704.67,"2,114.00"
Ultrasound,OBGYN Consult,Cervical Length,3,700.00,"2,100.00"
Pediatric Medicines,Amoxicillin (Himox),N/A,8,250.00,"2,000.00"
Ultrasound,OBGYN Consult,BPS + Biometry w- Cervical Length,1,"2,000.00","2,000.00"
Medicines,Medicine,Evening Primrose (Primdin),56,35.00,"1,960.00"
Medicines,Medicine,Isoxsuprine Hcl (Duvaprine),78,25.00,"1,950.00"
Medicines,OTHERS,Pregnancy Test,16,120.00,"1,920.00"
Services,Implant Removal,N/A,1,"1,800.00","1,800.00"
Laboratory,Clinical Chemistry,HbA1c,3,550.00,"1,650.00"
Medicines,Medicine,Metindaz,14,106.79,"1,495.00"
Ultrasound,General Ultrasound,Lower Abdomen (KUB plus Prostate OR Pelvic Structure),1,"1,400.00","1,400.00"
Ultrasound,General Ultrasound,Thyroid Ultrasound,1,"1,400.00","1,400.00"
Laboratory,OTHERS,KOH,2,600.00,"1,200.00"
Laboratory,Microbiology,Gram Stain,2,600.00,"1,200.00"
Laboratory,OTHERS,Wet Smear,2,600.00,"1,200.00"
Ultrasound,General Ultrasound,Hepatobiliary Tree (Liver Spleen Bile Ducts Gallbl,1,"1,150.00","1,150.00"
Others,Admin Fee,N/A,4,250.00,"1,000.00"
Ultrasound,OBGYN Consult,Doppler,1,"1,000.00","1,000.00"
Medicines,OTHERS,Feminine Wash (Femcare),5,200.00,"1,000.00"
Medicines,Medicine,Cefuroxime Axetil (Xinatrene),14,65.00,910.00
Laboratory,OTHERS,Serum Preg Test,3,300.00,900.00
Laboratory,Clinical Chemistry,Creatinine,3,300.00,900.00
Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),3,300.00,900.00
Laboratory,Clinical Chemistry,Uric Acid,3,300.00,900.00
