Category,Item,Option, Quantity , Price Per Unit , Profit 
SERVICES,OBGYN Consult,N/A, 702.00 , 599.54 ," 420,879.00 "
SERVICES,PEDIA Consult,N/A, 651.00 , 599.11 ," 390,022.00 "
UTZ,OBSTETRICS and GYNECOLOGY,Transvaginal, 169.00 ," 1,198.73 "," 202,586.00 "
VACCINES,ROTATEQ,N/A, 50.00 ," 2,500.00 "," 125,000.00 "
VACCINES,"PCV ""Pneumococcal""",N/A, 31.00 ," 4,000.00 "," 124,000.00 "
UTZ,OBSTETRICS and GYNECOLOGY,BPS + Biometry, 94.00 ," 1,300.00 "," 122,200.00 "
VACCINES,FLU VACCINE,N/A, 52.00 ," 2,000.00 "," 104,000.00 "
VACCINES,"6 IN 1 ""Hexaxim""",N/A, 25.00 ," 4,000.00 "," 100,000.00 "
UTZ,OBSTETRICS and GYNECOLOGY,Congenital Anomaly Scan, 36.00 ," 2,500.00 "," 90,000.00 "
UTZ,OBSTETRICS and GYNECOLOGY,Pelvic, 48.00 ," 1,200.00 "," 57,600.00 "
VACCINES,JAP ENCEPH,N/A, 12.00 ," 4,000.00 "," 48,000.00 "
OTHERS,NST,N/A, 35.00 ," 1,000.00 "," 35,000.00 "
LABS,MICROBIOLOGY,Papsmear, 40.00 , 792.85 ," 31,714.00 "
MED CERT,Medical Certificate,N/A, 62.00 , 500.00 ," 31,000.00 "
SERVICES,REI,N/A, 34.00 , 800.00 ," 27,200.00 "
UTZ,OBSTETRICS and GYNECOLOGY,5D ULTRASOUND, 9.00 ," 3,000.00 "," 27,000.00 "
UTZ,OBSTETRICS and GYNECOLOGY,Biometry, 21.00 ," 1,200.00 "," 25,200.00 "
VACCINES,ROTARIX,N/A, 8.00 ," 3,000.00 "," 24,000.00 "
VACCINES,TT,N/A, 47.00 , 500.00 ," 23,500.00 "
VACCINES,TD,N/A, 26.00 , 860.00 ," 22,360.00 "
Surgeon,Surgery Procedure (4500),N/A, 5.00 ," 4,400.00 "," 22,000.00 "
UTZ,GENERAL ULTRASOUND,Breast - Chest Ultrasound (Bilateral), 13.00 ," 1,564.46 "," 20,338.00 "
SERVICES,Surgery Consult,N/A, 31.00 , 593.10 ," 18,386.00 "
MEDS,MEDICINE,Calcium Carbonate + D3 (Calcidin)," 1,282.00 ", 12.00 ," 15,384.00 "
VACCINES,MMR,N/A, 6.00 ," 2,500.00 "," 15,000.00 "
LABS,PACKAGES,Buntis Package B, 6.00 ," 2,500.00 "," 15,000.00 "
MEDS,MEDICINE,Heme Up, 707.00 , 19.79 ," 13,990.00 "
MEDS,MEDICINE,Heragest, 208.00 , 65.00 ," 13,520.00 "
