Category,Item,Option,Quantity,Price per Unit,Total Profit
SERVICES,OBGYN Consult,N/A,690,598.70,"413,101.00"
SERVICES,PEDIA Consult,N/A,605,597.80,"361,672.00"
UTZ,OBSTETRICS and GYNECOLOGY,Transvaginal,168,"1,196.18","200,958.00"
VACCINES,ROTATEQ,N/A,47,"2,500.00","117,500.00"
VACCINES,"PCV ""Pneumococcal""",N/A,29,"4,000.00","116,000.00"
UTZ,OBSTETRICS and GYNECOLOGY,BPS + Biometry,83,"1,297.20","107,668.00"
VACCINES,FLU VACCINE,N/A,54,"1,990.74","107,500.00"
UTZ,OBSTETRICS and GYNECOLOGY,Congenital Anomaly Scan,40,"2,488.85","99,554.00"
VACCINES,"6 IN 1 ""Hexaxim""",N/A,20,"4,000.00","80,000.00"
UTZ,OBSTETRICS and GYNECOLOGY,Pelvic,42,"1,194.90","50,186.00"
MED CERT,Medical Certificate,N/A,77,500.00,"38,500.00"
SERVICES,REI,N/A,42,800.00,"33,600.00"
OTHERS,NST,N/A,30,"1,000.00","30,000.00"
VACCINES,JAP ENCEPH,N/A,7,"4,000.00","28,000.00"
LABS,MICROBIOLOGY,Papsmear,34,795.79,"27,057.00"
VACCINES,TD,N/A,29,860.00,"24,940.00"
VACCINES,ROTARIX,N/A,8,"3,000.00","24,000.00"
MED CERT,SWAB,N/A,19,"1,188.74","22,586.00"
LABS,PACKAGES,Buntis Package B,9,"2,500.00","22,500.00"
SERVICES,Endocrinologist Consult,N/A,28,779.57,"21,828.00"
LABS,PACKAGES,Thyroid Function Test,10,"1,800.00","18,000.00"
VACCINES,TT,N/A,36,500.00,"18,000.00"
LABS,CLINICAL CHEMISTRY,75 Gram OGTT,15,"1,200.00","18,000.00"
MEDS,MEDICINE,Heragest,276,65.00,"17,940.00"
VACCINES,MMR,N/A,7,"2,500.00","17,500.00"
VACCINES,VARICELLA,N/A,5,"3,500.00","17,500.00"
UTZ,OBSTETRICS and GYNECOLOGY,Biometry,14,"1,200.00","16,800.00"
MEDS,MEDICINE,Cholecalciferol + Calcium (Calvit Gold),1065,15.00,"15,975.00"
UTZ,OBSTETRICS and GYNECOLOGY,5D ULTRASOUND,5,"3,000.00","15,000.00"
UTZ,GENERAL ULTRASOUND,Breast - Chest Ultrasound (Bilateral),9,"1,666.22","14,996.00"
VACCINES,GARDASIL 4,N/A,3,"4,500.00","13,500.00"
MEDS,MEDICINE,Heme Up,659,20.00,"13,180.00"
VACCINES,HEPA A,N/A,5,"2,500.00","12,500.00"
VACCINES,MENINGO,N/A,3,"4,000.00","12,000.00"
LABS,CLINICAL CHEMISTRY,HIV Screening,17,650.00,"11,050.00"
MEDS,MEDICINE,Multivitamins (Mosvit Elite),753,14.12,"10,634.00"
SERVICES,Cardio,N/A,14,747.93,"10,471.00"
UTZ,OBSTETRICS and GYNECOLOGY,TVS w Follicle Monitoring,6,"1,700.00","10,200.00"
MEDS,FAMILY PLANNING,DMPA (Depotrust),20,500.00,"10,000.00"
SERVICES,Urologist Consult,N/A,13,767.00,"9,971.00"
LABS,HEMATOLOGY,Complete Blood Count (CBC),24,400.00,"9,600.00"
Surgeon,Surgery Procedure (9500),N/A,1,"9,500.00","9,500.00"
MEDS,MEDICINE,Evening Primrose (Primdin),263,34.00,"8,942.00"
LABS,PACKAGES,Buntis Package A,5,"1,700.00","8,500.00"
MEDS,MEDICINE,Gestron,119,65.00,"7,735.00"
SERVICES,IMPLANT INSERTION,N/A,2,"3,643.00","7,286.00"
SERVICES,Surgery Consult,N/A,12,591.08,"7,093.00"
MEDS,MEDICINE,Letrozole,46,150.00,"6,900.00"
MEDS,MEDICINE,Folic Acid (Quatrofol),431,15.00,"6,465.00"
MEDS,MEDICINE,Ferrous + Folic Acid (Prenat),559,11.32,"6,328.00"
MEDS,MEDICINE,Vitamin C + Zinc (Pearly-C),504,12.00,"6,048.00"
Surgeon,Surgery Procedure (5500),N/A,2,"3,000.00","6,000.00"
LABS,CLINICAL MICROSCOPY,Urinalysis,30,200.00,"6,000.00"
VACCINES,PPD,N/A,8,718.75,"5,750.00"
LABS,CLINICAL CHEMISTRY,FBS,8,650.00,"5,200.00"
UTZ,GENERAL ULTRASOUND,Scrotal Ultrasound (with Doppler),3,"1,700.00","5,100.00"
LABS,PACKAGES,Lipid Profile,5,928.40,"4,642.00"
Surgeon,Surgery Procedure (4500),N/A,1,"4,500.00","4,500.00"
LABS,HEMATOLOGY,Platelet Count (PC),18,250.00,"4,500.00"
SERVICES,Ear Piercing,N/A,4,"1,000.00","4,000.00"
LABS,MICROBIOLOGY,Urine C-S,5,800.00,"4,000.00"
MEDS,MEDICINE,Metindaz,28,130.00,"3,640.00"
LABS,OTHERS,Wet Smear,6,600.00,"3,600.00"
UTZ,GENERAL ULTRASOUND,Soft Tissue Ultrasound (ex. Axillary),3,"1,200.00","3,600.00"
MEDS,MEDICINE,Medroxyprogesterone (DB-10),40,80.00,"3,200.00"
VACCINES,TYPHOID,N/A,1,"3,000.00","3,000.00"
MED CERT,CARDIO CLEARANCE,N/A,2,"1,500.00","3,000.00"
MEDS,MEDICINE,Mupirocin Ointment (Mupiderm),13,223.23,"2,902.00"
UTZ,OBSTETRICS and GYNECOLOGY,CERVICAL LENGTH,4,700.00,"2,800.00"
LABS,OTHERS,HbA1c,5,550.00,"2,750.00"
LABS,HEMATOLOGY,ABO RH Typing,9,300.00,"2,700.00"
LABS,MICROBIOLOGY,Gram Stain,4,600.00,"2,400.00"
MEDS,FAMILY PLANNING,FAYE,4,600.00,"2,400.00"
UTZ,OBSTETRICS and GYNECOLOGY,BPS - DOPPLER VELOCIMETRY,1,"2,300.00","2,300.00"
SERVICES,IUD insertion,N/A,1,"2,300.00","2,300.00"
MEDS,MEDICINE,Mommalac,152,15.00,"2,280.00"
UTZ,OBSTETRICS and GYNECOLOGY,Cervical Length,3,700.00,"2,100.00"
UTZ,OBSTETRICS and GYNECOLOGY,Placental Doppler,2,"1,000.00","2,000.00"
UTZ,OBSTETRICS and GYNECOLOGY,BPS + Biometry w- Cervical Length,1,"2,000.00","2,000.00"
Surgeon,Surgery Procedure (1000),N/A,2,"1,000.00","2,000.00"
MEDS,OTHERS,Feminine Wash (Femcare),8,250.00,"2,000.00"
LABS,OTHERS,Rubella IgG,1,"1,800.00","1,800.00"
LABS,CLINICAL CHEMISTRY,Creatinine,6,300.00,"1,800.00"
LABS,CLINICAL CHEMISTRY,HBsAg Screening,4,450.00,"1,800.00"
MEDS,MEDICINE,Calcium Carbonate + D3 (Calcidin),138,12.00,"1,656.00"
MEDS,OTHERS,Pregnancy Test,13,120.00,"1,560.00"
VACCINES,BCG,N/A,1,"1,500.00","1,500.00"
MEDS,MEDICINE,Dexamethasone Sodium Phosphate (Mohsidex),2,750.00,"1,500.00"
VACCINES,HEPA B,N/A,1,"1,500.00","1,500.00"
MEDS,MEDICINE,Methylergometrine (Ergojen),60,25.00,"1,500.00"
SERVICES,IM,N/A,2,728.50,"1,457.00"
MEDS,MEDICINE,Isoxsuprene Hcl (Duvatrene),51,27.94,"1,425.00"
UTZ,OBSTETRICS and GYNECOLOGY,Placental Localization,2,700.00,"1,400.00"
MEDS,MEDICINE,Isoxsuprine Hcl (Duvaprine),72,18.88,"1,359.00"
LABS,CLINICAL CHEMISTRY,VDRL-RPR,3,450.00,"1,350.00"
UTZ,OBSTETRICS and GYNECOLOGY,Follicle Monitoring,2,500.00,"1,000.00"
LABS,CLINICAL CHEMISTRY,SGPT,4,250.00,"1,000.00"
MEDS,OTHERS,Dexa,1,750.00,750.00
OTHERS,Admin Fee,N/A,3,250.00,750.00
Pedia Medicines,Cetirizine Hydrochloride (Allercon-25),N/A,5,150.00,750.00
SERVICES,Clinic Fee,N/A,5,150.00,750.00
LABS,CLINICAL CHEMISTRY,SGOT,3,250.00,750.00
LABS,CLINICAL CHEMISTRY,Potassium,2,350.00,700.00
LABS,CLINICAL CHEMISTRY,Sodium,2,350.00,700.00
LABS,CLINICAL CHEMISTRY,Uric Acid,2,300.00,600.00
LABS,CLINICAL CHEMISTRY,Blood Urea Nitrogen (BUN),2,300.00,600.00
MEDS,OTHERS,Drysheet - Underpad,12,50.00,600.00
LABS,CLINICAL CHEMISTRY,HbA1c,1,550.00,550.00
LABS,HEMATOLOGY,APTT,1,500.00,500.00
LABS,HEMATOLOGY,PROTIME (PT),1,500.00,500.00
Pedia Medicines,Iron B + Complex (Ferlin),N/A,2,250.00,500.00
OTHERS,Histopath Deposit,N/A,1,500.00,500.00
Pedia Medicines,Salinase Spray,N/A,2,250.00,500.00
MEDS,MEDICINE,Cefuroxime Axetil (Aerox),14,35.00,490.00
